dni,nombre,apellidos,fechanacimiento,sexo,ciudadorigen
23827466,Vinicio,Bernat Iborra,1996-11-30,M,Tacna
74820560,Sarita,Villegas Bejarano,1948-12-02,F,Chiclayo
93090161,Cintia,Bru Guardia,1993-01-18,F,Cusco
44366233,Ignacio,Goicoechea Méndez,1991-10-04,M,Cusco
06677111,José Ángel,Ávila Rueda,1982-10-12,M,Piura
95468044,Urbano,Palacios Izquierdo,1970-08-15,M,Huancayo
58216754,Juan,Jover Canet,1928-02-08,M,Arequipa
42459530,Liliana,Matas Pereira,1986-06-22,F,Iquitos
56488924,Bonifacio,Avilés Atienza,1935-07-04,M,Puno
88938017,Salvador,Osuna Guillén,1949-10-10,M,Tacna
94716437,Luciano,Andreu Rincón,1980-10-20,M,Puno
64270017,Hermenegildo,López Agustí,2014-02-04,M,Piura
47961992,Ema,Monreal Juliá,1929-05-13,F,Tacna
46446518,Jose Carlos,Tejedor Armengol,1937-05-30,M,Chiclayo
62808432,Miguela,Solsona Tejedor,2017-12-06,F,Chiclayo
66751166,Apolonia,Solano Falcón,1967-02-15,F,Piura
42981040,Noemí,Arranz Melero,1995-04-26,F,Iquitos
15151997,Flor,Alonso Palomares,1935-03-30,F,Cusco
70153500,Chita,Santos Llanos,2023-07-01,F,Tacna
01267343,Severiano,Sánchez Soto,1928-11-26,M,Lima
31962338,Yésica,Ramis Bastida,2022-07-09,F,Huancayo
11063368,Noé,Espejo Rovira,1980-06-27,M,Lima
76657210,Jose Luis,Cabañas Jaén,1937-05-31,M,Huancayo
11965372,Felipe,Cabezas Franch,1938-04-28,M,Arequipa
12564867,Carlito,Gallo Garcia,2010-05-03,M,Lima
08617355,Vilma,Piquer Torralba,1966-07-31,F,Huancayo
63892979,Pepito,Morales Cerdá,1974-12-08,M,Puno
55224494,Gracia,Torre Peñalver,1979-10-11,F,Arequipa
50578398,Cornelio,Rivas Cañizares,2018-05-16,M,Arequipa
60113118,Alfonso,Espinosa Aramburu,1976-10-20,M,Trujillo
82848884,José Manuel,Barberá Arenas,2009-12-10,M,Tacna
03341651,Heriberto,Rozas Malo,1965-02-06,M,Huancayo
52771829,Juliana,Murcia Mosquera,1951-04-25,F,Arequipa
85048794,Marcial,Tovar Jara,1995-10-04,M,Trujillo
07612985,Ignacia,Mateos Jáuregui,1935-03-30,F,Cusco
39748317,Francisco Jose,Lasa Campos,1974-10-24,M,Cusco
63551513,Marino,Salas Arco,1975-05-28,M,Lima
39510563,Sarita,Garrido Galan,2001-11-09,F,Trujillo
73459531,Kike,Carreras Bolaños,1950-02-04,M,Iquitos
08150194,Ariel,Cantón Santamaría,1993-09-02,M,Huancayo
15829272,Ema,Busquets Merino,2020-06-12,F,Huancayo
72954270,Ignacia,Samper Figueras,2007-10-25,F,Piura
01063043,Eustaquio,Cabrero Palacio,1970-01-09,M,Chiclayo
59691983,Oriana,Fuente Iglesias,1993-07-02,F,Lima
87375352,Jacinta,Prat Chaves,2025-06-24,F,Cusco
51405426,Abril,Pujol Reig,2003-12-23,F,Arequipa
65493183,Eligia,Hidalgo Agullo,1974-09-08,F,Trujillo
61972079,Timoteo,Patiño Guzman,1972-02-26,M,Piura
23273370,Teo,Buendía Anaya,2000-07-05,M,Iquitos
86453241,Esmeralda,Palomares Arjona,2018-03-19,F,Cusco
01069469,Manuel,Coello Crespi,1932-12-27,M,Lima
74588486,Hilda,Cantero Salgado,1953-06-20,F,Puno
24340652,Carmen,Pablo Bello,2014-09-27,F,Trujillo
74869446,Juan Manuel,Cal Ferrando,1982-06-11,M,Iquitos
60277250,Anacleto,Jove Santiago,1954-03-08,M,Trujillo
07567630,Wilfredo,Heras Catalá,1992-10-22,M,Trujillo
96229322,Miguel,Reguera Acevedo,2009-04-16,M,Arequipa
49074356,Abilio,Milla Bilbao,1959-08-08,M,Chiclayo
31657722,Ester,Robledo Peñalver,1997-05-04,F,Trujillo
14310216,Lupe,Lerma Mayol,1973-07-12,F,Trujillo
71749134,Edelmiro,Bosch Huerta,1990-12-13,M,Cusco
23580396,Rómulo,Sabater Franco,2018-11-02,M,Arequipa
44659022,Alejo,Paredes Sánchez,2004-01-14,M,Lima
20218548,Almudena,Plaza Díaz,2015-08-29,F,Chiclayo
11737360,Marisa,Parra Pla,1927-01-01,F,Lima
36923079,Jenaro,Guzman Córdoba,2000-06-10,M,Arequipa
24021425,Micaela,Sanabria Ureña,1998-02-08,F,Arequipa
30795846,Edelmira,Segovia Cuenca,1939-06-07,F,Lima
71293970,Severino,Cazorla Revilla,1986-06-21,M,Lima
79787656,Adoración,Pujol Bastida,2006-02-12,F,Piura
40599240,Maximiano,Jordá Barranco,1970-05-21,M,Arequipa
26147075,Macaria,Molins Pinto,1957-01-13,F,Arequipa
02421179,Anacleto,Palomar Ugarte,1999-04-26,M,Iquitos
90604452,Rebeca,Arrieta Garrido,2012-02-27,F,Tacna
77107175,Severino,Castell Mercader,1994-09-07,M,Huancayo
76650773,Claudia,Santana Ferreras,1956-05-20,F,Puno
92468300,Toño,Piña Abad,2021-03-31,M,Piura
61188165,Carmina,Izquierdo Amor,1997-09-01,F,Chiclayo
90047371,Cayetano,Parejo Montenegro,1949-07-24,M,Cusco
36255216,Norberto,Ribera Boix,2004-12-17,M,Puno
20351760,Azahara,Gonzalez Acedo,1935-02-22,F,Trujillo
47253655,Francisca,Uribe Gonzalo,1999-03-10,F,Lima
07019721,Guadalupe,Echeverría Santana,2019-06-28,M,Huancayo
79381816,Eleuterio,Crespi Tejera,2022-03-22,M,Trujillo
43418649,Bruno,Suarez Beltran,1960-09-08,M,Trujillo
30421890,Merche,Zamora Rosales,1998-12-29,F,Tacna
31247403,Victoria,Pérez Cid,2006-10-06,F,Piura
83285842,Silvia,Exposito Tapia,1935-02-12,F,Huancayo
93842959,Leonel,Villaverde Aragonés,2008-05-26,M,Piura
90977614,Eulalia,Cerdá Aliaga,1930-01-28,F,Lima
71634500,Hilda,Salas Coloma,1932-10-24,F,Lima
46437163,Felicidad,Albero Hierro,1929-10-23,F,Arequipa
65527166,Soraya,Vila Niño,2021-09-07,F,Lima
03877211,Alejandra,Mayo Vives,1940-09-14,F,Huancayo
22527476,Lourdes,Pujol Font,1971-03-12,F,Tacna
27671110,Nuria,Domínguez Arellano,1941-11-25,F,Iquitos
60713171,Cecilia,Rosselló Infante,1983-02-06,F,Chiclayo
98506733,Reynaldo,Álamo Durán,1928-08-12,M,Arequipa
96489810,Benjamín,Mínguez Seco,1980-12-01,M,Cusco
77758673,Chita,Salgado Portero,2014-07-09,F,Piura
39238586,Aitor,Gil Paniagua,2007-08-25,M,Trujillo
51635015,Ruben,Barrera Blanco,2012-02-17,M,Piura
04437900,Melisa,Manzano Ocaña,2025-08-06,F,Lima
33256373,Oriana,Llorens Múñiz,1982-03-11,F,Chiclayo
84650950,Juan Manuel,Gras Orozco,1983-06-28,M,Cusco
85692841,Bernardita,Pozo Acedo,1988-11-16,F,Chiclayo
92652250,Gaspar,Calvo Molina,2003-03-12,M,Chiclayo
38281512,Marianela,Fabra Viña,1940-02-10,F,Trujillo
37855872,Valero,Grande Cañete,1945-07-01,M,Piura
04555537,Maura,Manzano Quirós,1938-01-13,F,Chiclayo
58862928,Rosario,Villegas Álvaro,2024-11-23,F,Arequipa
78182062,Anita,Villar Ferrer,1954-04-06,F,Huancayo
48652560,Juan Pablo,Alfonso Acero,1939-05-17,M,Tacna
62761434,Iris,Montes Cornejo,1958-12-14,F,Puno
22107021,Flora,Coca Ortega,1963-02-24,F,Lima
56887388,Luz,Milla Redondo,1953-07-07,F,Puno
73420934,Brunilda,Blázquez Villegas,2025-06-28,F,Trujillo
82724640,Rosario,Tamarit Galiano,1984-03-26,M,Puno
24105590,Toribio,Losa Cuenca,1983-11-21,M,Lima
07034180,Juan Manuel,Alfonso Acedo,1986-02-01,M,Arequipa
85380001,Felisa,Peinado Pera,1933-09-03,F,Piura
19315117,Primitivo,Goñi Alba,1993-03-19,M,Huancayo
58436792,Estela,Calderón Murcia,1925-07-25,F,Lima
14689453,Asunción,Ferrera Arnaiz,1951-01-17,F,Piura
04365585,Anita,Vallés Sala,1952-03-16,F,Huancayo
50480493,Ariel,Tudela Reina,1943-10-21,M,Piura
48495265,Tatiana,Seco Alegria,1991-04-06,F,Cusco
25052335,Florencia,Falcó Ruano,2025-06-18,F,Arequipa
50829885,Baltasar,Correa Sanmartín,2014-10-13,M,Piura
86934067,Eugenia,Somoza Sandoval,1969-01-17,F,Puno
05190193,Cayetana,Quintanilla Mayoral,2023-06-06,F,Arequipa
27334622,Hector,Mármol Araujo,1953-12-23,M,Trujillo
43099321,Lilia,Lladó Casals,1967-03-18,F,Huancayo
15259466,Nélida,Bello Borrás,1947-05-12,F,Lima
94381799,Telmo,Morales Pareja,2003-10-01,M,Puno
35654055,Pedro,Mata Carnero,1986-08-31,M,Tacna
48375567,Severo,Carretero Tomé,1972-01-30,M,Iquitos
67428652,María Pilar,Cortes Valenciano,2005-05-01,F,Puno
13934850,Alcides,Costa Múñiz,1998-11-13,M,Chiclayo
78671615,Norberto,Torrijos Franco,1928-04-26,M,Tacna
00269405,Faustino,Frutos Trillo,1945-08-08,M,Puno
14139425,Obdulia,Benitez Valls,1956-07-29,F,Puno
86682490,Celestino,Porta Vigil,1938-04-12,M,Piura
32238527,Evaristo,Padilla Ledesma,2003-08-05,M,Cusco
25945298,Fabricio,Sotelo Barroso,1951-05-16,M,Puno
94932009,Paulino,Romeu Ruano,1961-11-14,M,Iquitos
36289989,Victoriano,Lumbreras Marti,1969-07-18,M,Iquitos
29958404,Chelo,Goñi Andrés,2012-12-12,F,Piura
08093673,Gisela,Heras Tenorio,1928-12-15,F,Trujillo
59801295,Elisabet,Pozuelo Gil,1949-02-11,F,Iquitos
27944766,Cebrián,Cerezo Baeza,1954-08-20,M,Huancayo
61066995,Nadia,Cortes Frías,2004-02-24,F,Puno
54166907,Noelia,Santamaria Agullo,1985-08-18,F,Chiclayo
45024895,Marisol,Huerta Zapata,1932-09-01,F,Chiclayo
88995608,Francisco Javier,Prado Roldán,1936-01-19,M,Puno
00163841,Lilia,Barbero Heredia,1962-09-05,F,Piura
64617576,Rodrigo,Zamorano Andreu,1941-10-14,M,Arequipa
63980247,Lino,Sosa Arnau,1985-10-18,M,Tacna
04121013,Lucila,Arrieta Feijoo,1960-02-20,F,Tacna
22914570,Constanza,Rivero Llobet,1941-09-01,F,Puno
73726960,Lorena,Comas Marqués,1927-12-10,F,Puno
10446100,Goyo,Moraleda Carrera,1955-09-25,M,Huancayo
34800211,Ariel,Pi Capdevila,1966-12-20,F,Trujillo
46905562,María Del Carmen,Iglesias Amorós,1935-01-03,F,Cusco
79717169,Virgilio,Alarcón Elías,1953-10-23,M,Iquitos
94100896,Felipe,Morata Murillo,1980-02-05,M,Cusco
75709510,Nydia,Macías Sanabria,2023-03-31,F,Cusco
00171820,Silvia,Galván Puerta,1964-11-30,F,Chiclayo
84375276,Mamen,Fajardo Saavedra,1988-01-23,F,Trujillo
84280633,Benita,Bartolomé Pellicer,1936-01-28,F,Trujillo
54315139,Fanny,Cuervo España,1987-04-06,F,Trujillo
40084762,Ruth,Garay Becerra,1941-01-28,F,Puno
23751190,Rufina,Ferrando Ayuso,1953-03-10,F,Tacna
75352264,Victoriano,Lluch Nogueira,1926-09-30,M,Arequipa
61961853,Augusto,Montserrat Cadenas,2004-05-22,M,Piura
81707153,Rosalinda,Villalonga Roda,2008-07-06,F,Lima
54680513,Obdulia,Solé Crespo,1927-05-30,F,Iquitos
88816123,Macario,Bayona Sancho,1941-04-10,M,Arequipa
06556510,África,Malo Royo,1953-10-08,F,Lima
29627332,Jaime,Ribera Clavero,2006-07-31,M,Arequipa
97205429,Yago,Mora Ferrera,1999-03-22,M,Cusco
34425908,Fidel,Roura Cabello,1958-07-05,M,Tacna
05197452,Fernanda,Pacheco Almeida,2020-03-04,F,Puno
83790936,Ale,Quiroga Palomino,1970-04-22,M,Iquitos
39879676,Clímaco,Andrés Marin,2009-07-08,M,Arequipa
71202299,Evangelina,Sandoval Bustos,1993-09-27,F,Cusco
90112463,Vilma,Borrego Pintor,2008-12-17,F,Lima
98323401,Tomasa,Tolosa Villaverde,1955-11-08,F,Trujillo
61635030,Apolinar,España Carrión,1941-11-11,M,Arequipa
54145086,Jesusa,Alemany Herranz,1963-01-24,F,Trujillo
15544986,Teobaldo,Santamaria Alberto,1957-04-09,M,Arequipa
71161825,Ariadna,Pulido Arias,1999-11-08,F,Cusco
14885134,Jesusa,Toledo Mate,1985-04-23,F,Lima
32162945,Yaiza,Carreño Quesada,1936-12-23,F,Arequipa
62298827,Priscila,Pardo Rodriguez,1987-07-10,F,Chiclayo
02960588,Carlota,Delgado Leal,1963-08-19,F,Cusco
47508500,Fausto,Ocaña Llopis,1926-05-24,M,Trujillo
78264088,Carmelita,Calleja Bolaños,1928-11-17,F,Piura
43966757,Nazaret,Bueno Toledo,1975-08-19,M,Trujillo
41487914,Evaristo,Sanmartín Esparza,1943-10-04,M,Iquitos
33723614,Vasco,Adadia Barragán,1967-02-15,M,Tacna
76810018,Paloma,Lladó Juárez,1991-05-31,F,Puno
37233949,Pepito,Gil Lozano,2020-11-07,M,Arequipa
48544632,Nazario,Lobato Alarcón,2002-05-16,M,Chiclayo
41758474,Abril,Isern Quirós,1997-12-01,F,Cusco
22691193,Ana Sofía,Escamilla Ferrero,2007-06-13,F,Lima
05832842,Calixto,Benítez Casals,2012-01-28,M,Piura
94893094,Edgardo,Montaña Bauzà,2014-07-05,M,Trujillo
66148503,Ale,Gras Cervantes,1992-07-13,M,Arequipa
61673767,Paloma,Cano Sanabria,1932-03-07,F,Puno
81698340,Amaro,Garzón Rosado,1944-02-04,M,Trujillo
51846060,Miriam,Valbuena Caballero,2025-08-14,F,Tacna
23176403,Cebrián,Montoya Cabo,2010-05-15,M,Tacna
22675456,Yago,Vall Mosquera,2024-12-11,M,Lima
43621905,Manuel,Echeverría Mir,1960-03-23,M,Puno
45289411,Lucho,Jódar Girona,1935-12-12,M,Cusco
70870808,Erasmo,Tur Alvarez,1931-12-16,M,Puno
83093107,Ángeles,Iglesias Guardia,1940-04-13,F,Arequipa
38904757,Palmira,Oller Verdugo,1929-01-12,F,Huancayo
51708112,Timoteo,Barón Grande,1961-04-22,M,Cusco
45405089,Ramona,Blanco Vila,1953-12-27,F,Arequipa
35112699,Manu,Mendizábal Lopez,2011-03-20,M,Lima
49713587,Eladio,Artigas Bosch,1935-08-14,M,Tacna
16104874,Loreto,Mateo Gargallo,1969-03-17,M,Cusco
81091087,Sara,Perea Sarmiento,2003-01-24,F,Tacna
07637794,Rosario,Oliver Morán,1978-07-28,M,Arequipa
12846291,Marino,Cortes Barrena,2012-06-29,M,Lima
09185365,Cándida,Marco Montes,1991-12-06,F,Chiclayo
17796261,Asunción,Uriarte Flores,2001-07-14,F,Puno
62992352,Carmina,Nieto Huguet,1985-04-06,F,Piura
97638033,Carmelita,Rivas Orozco,1985-06-03,F,Trujillo
86687454,Estela,Verdú Bernad,1941-05-17,F,Piura
53868863,Benigna,Ojeda Paniagua,1946-08-30,F,Lima
84953324,Ciríaco,Benavente Piñol,2024-02-19,M,Lima
87604320,Renato,Roda Casals,1988-05-12,M,Piura
19203891,Samuel,Sanjuan Pina,2006-02-18,M,Chiclayo
17048403,Noa,Lerma Querol,2018-09-09,F,Puno
50051813,Sergio,Abril Mena,1992-12-22,M,Trujillo
24464757,Jorge,Alsina Querol,1951-09-03,M,Puno
28892867,Rosalva,Mancebo Castrillo,1959-12-17,F,Chiclayo
06048069,Plácido,Aparicio Balaguer,1986-07-03,M,Piura
34339041,Berto,Villalonga Cerezo,1964-04-05,M,Tacna
91034829,Encarnación,Romeu Noriega,1933-04-26,F,Puno
50556091,Erasmo,Bolaños Soto,1930-10-22,M,Huancayo
23475924,Miguel Ángel,Rueda Ojeda,1946-04-04,M,Chiclayo
29939590,Eloísa,Vilalta Galindo,1954-11-06,F,Iquitos
12732867,Gervasio,Sanmiguel Mur,1959-04-06,M,Trujillo
39237511,Maristela,Llamas Barrio,1981-07-28,F,Puno
99764444,Pili,Díez Guillén,2013-12-27,F,Piura
26671114,Catalina,Mínguez Antón,1953-04-05,F,Cusco
81110480,Juan Manuel,Cabanillas Sáez,2012-08-05,M,Arequipa
76079227,Perlita,Ureña Casal,1943-01-02,F,Chiclayo
07554604,Ramón,Herrero Pomares,1975-10-13,M,Arequipa
85796100,Domingo,Pombo Morante,1993-07-01,M,Cusco
76648721,Anna,Vara Galván,1991-12-22,F,Trujillo
68622313,Imelda,Bonet Marqués,2020-10-08,F,Tacna
34863450,Lorenza,Melero Lago,1939-02-11,F,Cusco
49876902,Odalis,Narváez Aragonés,1934-02-09,F,Puno
50615116,Pastor,Simó Vilanova,2022-03-06,M,Cusco
11878365,Gisela,Blanca Lozano,2009-09-13,F,Lima
16683665,Ricardo,Estrada Donoso,2007-07-22,M,Cusco
21189954,Elvira,Villanueva Valenciano,2008-12-16,F,Piura
60283027,Humberto,Rebollo Tolosa,1945-11-14,M,Arequipa
04756086,Ambrosio,Suárez Chaves,1958-09-16,M,Iquitos
52438900,Macario,Porras Guijarro,1937-04-21,M,Lima
02754948,Narcisa,Caro Cerdá,2011-10-12,F,Cusco
26963046,Nilda,Valencia Alegre,1990-08-29,F,Puno
79556624,Fernanda,Pulido Moliner,1960-06-09,F,Trujillo
45668576,Elpidio,Cabo Angulo,2018-01-23,M,Lima
77924351,Nazaret,Muñoz Serna,2012-06-06,F,Cusco
95103864,Anastasio,Sainz Ropero,2021-05-02,M,Huancayo
84938135,Lucho,Calderón Pont,1986-02-09,M,Tacna
14128190,Adelardo,Rincón Vall,1984-01-05,M,Trujillo
08912712,Marcio,Ribera Mur,1981-08-14,M,Chiclayo
95288002,Joan,Aller Vilaplana,2006-03-16,M,Lima
09256412,Vito,Niño Granados,1991-10-25,M,Trujillo
70310001,Alexandra,Torrecilla Pinedo,2011-10-10,F,Piura
57390125,Remigio,Alcázar Salas,1949-01-23,M,Trujillo
10133438,Mercedes,Acedo Fonseca,2020-10-27,F,Lima
22005270,Andrea,Bru Alcaraz,2008-05-04,F,Trujillo
35098220,Xiomara,Cabrero Piñeiro,1925-09-12,F,Tacna
30680861,Encarnita,Hernando Mosquera,1984-01-21,F,Huancayo
95455518,Maricruz,Cañas Ledesma,1937-04-18,F,Cusco
42152970,Jafet,Molina Delgado,1987-03-09,M,Iquitos
48988730,Máxima,Haro Bayo,1979-10-20,F,Cusco
88346251,Aureliano,Osuna Vallés,1992-09-30,M,Arequipa
45870029,Wálter,Roig Hoz,1972-05-14,M,Chiclayo
59209836,Belen,Guardiola Almeida,2017-02-22,F,Lima
17812870,Ámbar,Arnaiz Carro,1979-09-27,F,Puno
18726821,María,Boix Figueroa,1930-05-22,F,Lima
20112037,Joaquín,Perez Alcaraz,1964-05-04,M,Lima
36963707,Pía,Solís Calvo,1995-11-06,F,Piura
03985626,Consuela,Pellicer Oliva,1983-06-14,F,Trujillo
96530111,Manolo,Robles Colom,1949-05-01,M,Lima
51211766,Ramiro,Rivero Guijarro,1943-11-15,M,Iquitos
76113527,Edmundo,Ferrer Arroyo,1948-04-08,M,Puno
22187900,Vanesa,Martí Zaragoza,1973-05-18,F,Tacna
02169103,Inés,Calderon Malo,1958-11-13,F,Cusco
56437378,Ruth,Álvarez Domingo,1939-04-08,F,Lima
17617792,Antonia,Landa Lasa,2022-07-23,F,Piura
30038799,Eladio,Bertrán Cámara,1998-11-28,M,Piura
08580030,Anabel,Laguna Camino,1949-09-13,F,Puno
02433812,Guiomar,Piñeiro Osorio,1991-02-13,F,Cusco
22038949,Lope,Narváez Parra,1945-09-23,M,Huancayo
60704729,Fausto,Jimenez Sacristán,1958-12-17,M,Arequipa
37819235,Maristela,Valencia Mena,1984-06-07,F,Puno
46936425,Verónica,Amores Nicolás,1930-04-17,F,Trujillo
53982409,Mayte,Morillo Aguilera,2024-09-15,F,Arequipa
79242937,Silvestre,Falcón Baños,1968-12-12,M,Tacna
49886416,Heraclio,Neira Paniagua,1969-08-28,M,Tacna
05525392,Fidela,Pulido Agustín,1989-04-23,F,Huancayo
68329166,Baltasar,Fortuny Torrens,1991-10-13,M,Arequipa
84604871,Xavier,Giralt Hierro,1938-12-04,M,Chiclayo
03093954,Emperatriz,Arnaiz Luján,1996-12-15,F,Piura
94760985,Che,Guijarro Sotelo,1986-01-28,M,Puno
98102239,Haroldo,Prieto Mesa,1992-06-29,M,Tacna
02523352,Joan,Pozuelo Amat,2003-03-08,M,Iquitos
91202797,Curro,Almeida Puga,1997-08-12,M,Arequipa
72829024,Verónica,Ferrández Cervera,1993-01-05,F,Trujillo
23003886,Juan Luis,Artigas Pedrosa,1996-09-11,M,Puno
